id	filename	md5	size	state
53e46dfc-f3d5-4a69-82ec-4c73de2ebac2	79351f4f-6f4b-4a1e-bd18-eaa521344822.rna_seq.genomic.gdc_realn.bam	83314e21a199bb714f6e10077458a6b5	7579121202	released
b2c441a8-883b-4187-8841-deab545776d6	05ec7139-df1a-48af-8d31-0acb26ee037b.rna_seq.genomic.gdc_realn.bam	8a0eccbd9bfb4466bcf895cad5ee6a41	5795314355	released
2deec9d9-62fb-4e52-b242-fb2e804f4081	0df5b21d-6ab0-4d21-a801-9e0dd4230ffb.rna_seq.genomic.gdc_realn.bam	0c5993a8a7fd840135b49a06d48d313b	5656890170	released
3ca04226-6745-494a-b1b9-75b2da8ab28b	d12f92f8-960c-4969-adec-fa55ce64fbee.rna_seq.genomic.gdc_realn.bam	a968aac5a87f38d881b75741d3a44fda	4912216772	released
f911061b-1bcf-44f7-a7f0-93e161aa83c0	cc372dbb-e7ea-457f-ae2b-7d0ba5a0a2dd.rna_seq.genomic.gdc_realn.bam	7bcda699b509b16e1c3b454e5fc2516d	7754870868	released
6b3c4642-e9bf-4cb4-9077-b506f4271d51	ddc9ddb7-8686-4cd7-8f81-71ff37c8203e.rna_seq.genomic.gdc_realn.bam	6dc1772e4fb55fd945fe45743453ea40	5235954432	released
dc1652b1-3b12-46e8-8e1c-318191fc5f35	e71db7d0-f7b7-4522-a382-c83b7520f608.rna_seq.genomic.gdc_realn.bam	981308c467c18c60853702a9abb0f076	7201249021	released
54658827-4825-42f6-902e-fa34a92fecad	72d9b028-1c20-4835-a7f9-882e5dd80797.rna_seq.genomic.gdc_realn.bam	e6dd8477e6bcdaa47178c7a1ac276f7e	7203212091	released
69dab10a-3cda-438f-b24e-b5871997a74b	e7f27690-8071-4923-bc18-35eba10113a9.rna_seq.genomic.gdc_realn.bam	0ef39055be1db76d002b22fbf542d429	7661812267	released
e73c9e6f-2850-49cf-b63b-76e24a2af31c	d6833afe-f5dd-4a0d-8778-666f7e52224f.rna_seq.genomic.gdc_realn.bam	9e150f934c768c92dfe5a49c121cf374	6487746209	released
5e3f53d6-281a-4751-8f26-4f44249896a3	34f43fb5-ca59-4455-ae07-f987bdb9a8e0.rna_seq.genomic.gdc_realn.bam	05d0974cd63bfa4456964c38d0bbc3b0	5043356773	released
eec3b6e8-6d8c-41c8-882e-0bcb0109d2cd	a199f5da-dda7-406f-967b-f9c5ff771a40.rna_seq.genomic.gdc_realn.bam	fff2eb3e7da4eb4512a3983084d6d9f7	7942320273	released
174bbf96-a591-4365-977e-1f547a096213	c1867a9a-942f-46f9-b7ff-bfe8edb04f6d.rna_seq.genomic.gdc_realn.bam	3d57088447c69d9513939d89443dfd8a	7739421465	released
1af15292-0d68-4ee3-8e54-133c93c25341	1ab744be-3780-4baa-971a-50defda0e791.rna_seq.genomic.gdc_realn.bam	b89d6652eded8680b7691ccb08a42450	5979634849	released
b696fd2b-39b1-4256-8b72-03c23f89ca22	26afaa53-4039-4efd-a008-9578dea6a301.rna_seq.genomic.gdc_realn.bam	161923c2e99c785c234a39a69e50910a	4437776657	released
4dad506f-22f2-4ca5-aa06-7ff3fb4563b8	23d3ea07-1507-4b92-b05b-5c464ecb9858.rna_seq.genomic.gdc_realn.bam	a52bd4efc6b6f9da9fec3336397529e3	6304423988	released
7f10bb5c-5448-4369-900e-963dd96c9cd6	e1ac88db-c63b-405a-bf22-0c02eab7ecff.rna_seq.genomic.gdc_realn.bam	97d2e4b37e2cbb0317d967e75995fb5d	4600226223	released
01f107fd-838b-42b8-ac1b-7107eeb5e7f2	7850ab16-4701-4e05-b2b8-6086b8ed63bb.rna_seq.genomic.gdc_realn.bam	afe6ed60b1b52d5b6005dfd00d5203e0	8403823420	released
e47963e2-5bb1-4980-a9dd-70416ed14cf5	30df08e9-e6be-4c16-91e1-4e7de6adddea.rna_seq.genomic.gdc_realn.bam	1858f97af619767d7dfe3e5c18ec6195	8524192649	released
e9698010-1dbb-4fe1-b5eb-b6c38e7087d5	06cbde58-ac14-4736-ad91-0ba2bf399527.rna_seq.genomic.gdc_realn.bam	eda73d42345ce21aea6b965f07d1d1c6	6525368001	released
7d6b0081-7975-40f2-9356-ffa59ec97b4e	2aa9348e-e78c-4af8-9aa1-ac2a0771ea7c.rna_seq.genomic.gdc_realn.bam	21a4a13db4379f54202224cef0f56062	7529044082	released
927d1442-fb1f-4fcd-9729-c77a60b77bad	c4479d47-5f2d-434a-8755-59426a635706.rna_seq.genomic.gdc_realn.bam	fc22e27d765e0adf2857400908535332	7102775969	released
c18e4c07-aa2d-4dda-b9ab-52ba32336f02	66697b8e-4ffe-4ed5-933f-1d11eda9a7d5.rna_seq.genomic.gdc_realn.bam	98b063aeb9d7909e66df757da46b808c	4245285755	released
